Sale Year,Battery kWh,Cathode Mix,Propulsion,Global Segment,Total Sales,Total Mwh
2022,17,NMC 111,PHEV,Car,3,0.051000000000000004
2023,17,NMC 111,PHEV,Car,0,0
2024,17,NMC 111,PHEV,Car,0,0
2025,17,NMC 111,PHEV,Car,0,0
2014,17.7,NMC (unspecified),FCEV,SUV,0,0
2015,17.7,NMC (unspecified),FCEV,SUV,0,0
2016,17.7,NMC (unspecified),FCEV,SUV,0,0
2017,17.7,NMC (unspecified),FCEV,SUV,0,0
2018,17.7,NMC (unspecified),FCEV,SUV,0,0
2019,17.7,NMC (unspecified),FCEV,SUV,0,0
2020,17.7,NMC (unspecified),FCEV,SUV,0,0
2021,17.7,NMC (unspecified),FCEV,SUV,0,0
2022,17.7,NMC (unspecified),FCEV,SUV,0,0
2023,17.7,NMC (unspecified),FCEV,SUV,0,0
2024,17.7,NMC (unspecified),FCEV,SUV,18,0.3186
2025,17.7,NMC (unspecified),FCEV,SUV,8,0.1416
2014,24,tba (unspecified),BEV,SUV,405,9.719999999999999
2015,24,tba (unspecified),BEV,SUV,2,0.048
2016,24,tba (unspecified),BEV,SUV,0,0
2017,24,tba (unspecified),BEV,SUV,0,0
2018,24,tba (unspecified),BEV,SUV,0,0
2019,24,tba (unspecified),BEV,SUV,0,0
2020,24,tba (unspecified),BEV,SUV,0,0
2021,24,tba (unspecified),BEV,SUV,0,0
2022,24,tba (unspecified),BEV,SUV,0,0
2023,24,tba (unspecified),BEV,SUV,0,0
2024,24,tba (unspecified),BEV,SUV,0,0
2025,24,tba (unspecified),BEV,SUV,0,0
2014,85,NMC (unspecified),BEV,SUV,0,0
2015,85,NMC (unspecified),BEV,SUV,0,0
2016,85,NMC (unspecified),BEV,SUV,0,0
2017,85,NMC (unspecified),BEV,SUV,0,0
2018,85,NMC (unspecified),BEV,SUV,0,0
2019,85,NMC (unspecified),BEV,SUV,0,0
2020,85,NMC (unspecified),BEV,SUV,0,0
2021,85,NMC (unspecified),BEV,SUV,0,0
2022,85,NMC (unspecified),BEV,SUV,0,0
2023,85,NMC (unspecified),BEV,SUV,0,0
2024,85,NMC (unspecified),BEV,SUV,33017,2806.445
2025,85,NMC (unspecified),BEV,SUV,3744,318.24
2014,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2015,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2016,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2017,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2018,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2019,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2020,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2021,"58 / 77,4",NMC (unspecified),BEV,SUV,153,11.475
2022,"58 / 77,4",NMC (unspecified),BEV,SUV,22982,1723.65
2023,"58 / 77,4",NMC (unspecified),BEV,SUV,33918,2543.85
2024,"58 / 77,4",NMC (unspecified),BEV,SUV,30318,2273.85
2025,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2014,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2015,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2016,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2017,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2018,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2019,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2020,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2021,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2022,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2023,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2024,"58 / 77,4",NMC (unspecified),BEV,SUV,14082,1056.15
2025,"58 / 77,4",NMC (unspecified),BEV,SUV,2250,168.75
2014,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2015,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2016,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2017,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2018,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2019,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2020,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2021,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2022,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2023,"58 / 77,4",NMC (unspecified),BEV,Car,2083,145.81
2024,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2025,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2014,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2015,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2016,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2017,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2018,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2019,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2020,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2021,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2022,"58 / 77,4",NMC (unspecified),BEV,Car,0,0
2023,"58 / 77,4",NMC (unspecified),BEV,Car,10916,764.1199999999999
2024,"58 / 77,4",NMC (unspecified),BEV,Car,12264,858.4800000000001
2025,"58 / 77,4",NMC (unspecified),BEV,Car,871,60.97
2014,28 / 42,NMC 622,BEV,Car,0,0
2015,28 / 42,NMC 622,BEV,Car,0,0
2016,28 / 42,NMC 622,BEV,Car,0,0
2017,28 / 42,NMC 622,BEV,Car,432,12.096
2018,28 / 42,NMC 622,BEV,Car,474,13.272
2019,28 / 42,NMC 622,BEV,Car,1641,45.948
2020,28 / 42,NMC 622,BEV,Car,1535,64.47
2021,28 / 42,NMC 622,BEV,Car,1766,74.172
2022,28 / 42,NMC 622,BEV,Car,5,0.21000000000000002
2023,28 / 42,NMC 622,BEV,Car,0,0
2024,28 / 42,NMC 622,BEV,Car,0,0
2025,28 / 42,NMC 622,BEV,Car,0,0
2014,8.9,NMC 622,PHEV,Car,0,0
2015,8.9,NMC 622,PHEV,Car,0,0
2016,8.9,NMC 622,PHEV,Car,0,0
2017,8.9,NMC 622,PHEV,Car,0,0
2018,8.9,NMC 622,PHEV,Car,1838,16.3582
2019,8.9,NMC 622,PHEV,Car,2376,21.1464
2020,8.9,NMC 622,PHEV,Car,3637,32.369299999999996
2021,8.9,NMC 622,PHEV,Car,3484,31.007600000000004
2022,8.9,NMC 622,PHEV,Car,792,7.048800000000001
2023,8.9,NMC 622,PHEV,Car,0,0
2024,8.9,NMC 622,PHEV,Car,0,0
2025,8.9,NMC 622,PHEV,Car,0,0
2014,42 / 67,NMC 622,BEV,SUV,0,0
2015,42 / 67,NMC 622,BEV,SUV,0,0
2016,42 / 67,NMC 622,BEV,SUV,0,0
2017,42 / 67,NMC 622,BEV,SUV,0,0
2018,42 / 67,NMC 622,BEV,SUV,0,0
2019,42 / 67,NMC 622,BEV,SUV,3603,208.97400000000002
2020,42 / 67,NMC 622,BEV,SUV,3021,175.218
2021,42 / 67,NMC 622,BEV,SUV,8936,518.288
2022,42 / 67,NMC 622,BEV,SUV,4531,285.453
2023,42 / 67,NMC 622,BEV,SUV,8732,550.116
2024,42 / 67,NMC 622,BEV,SUV,0,0
2025,42 / 67,NMC 622,BEV,SUV,0,0
2014,51 / 68,NMC (unspecified),BEV,SUV,0,0
2015,51 / 68,NMC (unspecified),BEV,SUV,0,0
2016,51 / 68,NMC (unspecified),BEV,SUV,0,0
2017,51 / 68,NMC (unspecified),BEV,SUV,0,0
2018,51 / 68,NMC (unspecified),BEV,SUV,0,0
2019,51 / 68,NMC (unspecified),BEV,SUV,0,0
2020,51 / 68,NMC (unspecified),BEV,SUV,0,0
2021,51 / 68,NMC (unspecified),BEV,SUV,0,0
2022,51 / 68,NMC (unspecified),BEV,SUV,0,0
2023,51 / 68,NMC (unspecified),BEV,SUV,134,8.442
2024,51 / 68,NMC (unspecified),BEV,SUV,5133,323.379
2025,51 / 68,NMC (unspecified),BEV,SUV,206,12.978
2014,1.56,tba (unspecified),FCEV,SUV,0,0
2015,1.56,tba (unspecified),FCEV,SUV,0,0
2016,1.56,tba (unspecified),FCEV,SUV,0,0
2017,1.56,tba (unspecified),FCEV,SUV,0,0
2018,1.56,tba (unspecified),FCEV,SUV,8,0.01248
2019,1.56,tba (unspecified),FCEV,SUV,267,0.41652
2020,1.56,tba (unspecified),FCEV,SUV,208,0.32448000000000005
2021,1.56,tba (unspecified),FCEV,SUV,430,0.6708000000000001
2022,1.56,tba (unspecified),FCEV,SUV,408,0.63648
2023,1.56,tba (unspecified),FCEV,SUV,241,0.37596
2024,1.56,tba (unspecified),FCEV,SUV,85,0.13260000000000002
2025,1.56,tba (unspecified),FCEV,SUV,0,0
2014,13.8,NMC (unspecified),PHEV,SUV,0,0
2015,13.8,NMC (unspecified),PHEV,SUV,0,0
2016,13.8,NMC (unspecified),PHEV,SUV,0,0
2017,13.8,NMC (unspecified),PHEV,SUV,0,0
2018,13.8,NMC (unspecified),PHEV,SUV,0,0
2019,13.8,NMC (unspecified),PHEV,SUV,0,0
2020,13.8,NMC (unspecified),PHEV,SUV,0,0
2021,13.8,NMC (unspecified),PHEV,SUV,1720,23.736
2022,13.8,NMC (unspecified),PHEV,SUV,2937,40.5306
2023,13.8,NMC (unspecified),PHEV,SUV,4422,61.023599999999995
2024,13.8,NMC (unspecified),PHEV,SUV,860,11.867999999999997
2025,13.8,NMC (unspecified),PHEV,SUV,0,0
2014,9.8,NMC 442,PHEV,Car,0,0
2015,9.8,NMC 442,PHEV,Car,160,1.568
2016,9.8,NMC 442,PHEV,Car,3095,30.330999999999996
2017,9.8,NMC 442,PHEV,Car,2535,24.843000000000004
2018,9.8,NMC 442,PHEV,Car,443,4.3414
2019,9.8,NMC 442,PHEV,Car,425,4.165
2020,9.8,NMC 442,PHEV,Car,600,5.88
2021,9.8,NMC 442,PHEV,Car,8,0.0784
2022,9.8,NMC 442,PHEV,Car,0,0
2023,9.8,NMC 442,PHEV,Car,0,0
2024,9.8,NMC 442,PHEV,Car,0,0
2025,9.8,NMC 442,PHEV,Car,0,0
2014,0.95,LMP (unspecified),FCEV,SUV,100,0.095
2015,0.95,LMP (unspecified),FCEV,SUV,38,0.03609999999999999
2016,0.95,LMP (unspecified),FCEV,SUV,40,0.038
2017,0.95,LMP (unspecified),FCEV,SUV,28,0.0266
2018,0.95,LMP (unspecified),FCEV,SUV,36,0.0342
2019,0.95,LMP (unspecified),FCEV,SUV,0,0
2020,0.95,LMP (unspecified),FCEV,SUV,0,0
2021,0.95,LMP (unspecified),FCEV,SUV,0,0
2022,0.95,LMP (unspecified),FCEV,SUV,0,0
2023,0.95,LMP (unspecified),FCEV,SUV,0,0
2024,0.95,LMP (unspecified),FCEV,SUV,0,0
2025,0.95,LMP (unspecified),FCEV,SUV,0,0
2014,13.8,NMC (unspecified),PHEV,SUV,0,0
2015,13.8,NMC (unspecified),PHEV,SUV,0,0
2016,13.8,NMC (unspecified),PHEV,SUV,0,0
2017,13.8,NMC (unspecified),PHEV,SUV,0,0
2018,13.8,NMC (unspecified),PHEV,SUV,0,0
2019,13.8,NMC (unspecified),PHEV,SUV,0,0
2020,13.8,NMC (unspecified),PHEV,SUV,0,0
2021,13.8,NMC (unspecified),PHEV,SUV,948,13.0824
2022,13.8,NMC (unspecified),PHEV,SUV,2454,33.8652
2023,13.8,NMC (unspecified),PHEV,SUV,5629,77.6802
2024,13.8,NMC (unspecified),PHEV,SUV,6016,83.02080000000001
2025,13.8,NMC (unspecified),PHEV,SUV,455,6.279
2014,90,NMC 622,BEV,SUV,0,0
2015,90,NMC 622,BEV,SUV,0,0
2016,90,NMC 622,BEV,SUV,0,0
2017,90,NMC 622,BEV,SUV,0,0
2018,90,NMC 622,BEV,SUV,393,35.37
2019,90,NMC 622,BEV,SUV,2597,233.73000000000002
2020,90,NMC 622,BEV,SUV,1658,149.22000000000003
2021,90,NMC 622,BEV,SUV,1020,91.80000000000001
2022,90,NMC 622,BEV,SUV,311,27.99
2023,90,NMC 622,BEV,SUV,472,42.48
2024,90,NMC 622,BEV,SUV,2301,207.09000000000003
2025,90,NMC 622,BEV,SUV,362,32.58
2014,17.3,NMC (unspecified),PHEV,SUV,0,0
2015,17.3,NMC (unspecified),PHEV,SUV,0,0
2016,17.3,NMC (unspecified),PHEV,SUV,0,0
2017,17.3,NMC (unspecified),PHEV,SUV,0,0
2018,17.3,NMC (unspecified),PHEV,SUV,0,0
2019,17.3,NMC (unspecified),PHEV,SUV,0,0
2020,17.3,NMC (unspecified),PHEV,SUV,0,0
2021,17.3,NMC (unspecified),PHEV,SUV,0,0
2022,17.3,NMC (unspecified),PHEV,SUV,7813,135.1649
2023,17.3,NMC (unspecified),PHEV,SUV,45684,790.3332
2024,17.3,NMC (unspecified),PHEV,SUV,31050,537.165
2025,17.3,NMC (unspecified),PHEV,SUV,840,14.532
2014,100.5,NMC (unspecified),BEV,SUV,0,0
2015,100.5,NMC (unspecified),BEV,SUV,0,0
2016,100.5,NMC (unspecified),BEV,SUV,0,0
2017,100.5,NMC (unspecified),BEV,SUV,0,0
2018,100.5,NMC (unspecified),BEV,SUV,0,0
2019,100.5,NMC (unspecified),BEV,SUV,0,0
2020,100.5,NMC (unspecified),BEV,SUV,0,0
2021,100.5,NMC (unspecified),BEV,SUV,0,0
2022,100.5,NMC (unspecified),BEV,SUV,0,0
2023,100.5,NMC (unspecified),BEV,SUV,0,0
2024,100.5,NMC (unspecified),BEV,SUV,189,18.994500000000002
2025,100.5,NMC (unspecified),BEV,SUV,123,12.3615
2014,17.3,NMC (unspecified),PHEV,SUV,0,0
2015,17.3,NMC (unspecified),PHEV,SUV,0,0
2016,17.3,NMC (unspecified),PHEV,SUV,0,0
2017,17.3,NMC (unspecified),PHEV,SUV,0,0
2018,17.3,NMC (unspecified),PHEV,SUV,0,0
2019,17.3,NMC (unspecified),PHEV,SUV,0,0
2020,17.3,NMC (unspecified),PHEV,SUV,0,0
2021,17.3,NMC (unspecified),PHEV,SUV,36000,622.8000000000001
2022,17.3,NMC (unspecified),PHEV,SUV,43176,746.9448
2023,17.3,NMC (unspecified),PHEV,SUV,67429,1166.5216999999998
2024,17.3,NMC (unspecified),PHEV,SUV,62104,1074.3992
2025,17.3,NMC (unspecified),PHEV,SUV,2900,50.17
2014,28,tba (unspecified),PHEV,Car,0,0
2015,28,tba (unspecified),PHEV,Car,0,0
2016,28,tba (unspecified),PHEV,Car,0,0
2017,28,tba (unspecified),PHEV,Car,0,0
2018,28,tba (unspecified),PHEV,Car,0,0
2019,28,tba (unspecified),PHEV,Car,0,0
2020,28,tba (unspecified),PHEV,Car,0,0
2021,28,tba (unspecified),PHEV,Car,0,0
2022,28,tba (unspecified),PHEV,Car,74,2.072
2023,28,tba (unspecified),PHEV,Car,7,0.196
2024,28,tba (unspecified),PHEV,Car,0,0
2025,28,tba (unspecified),PHEV,Car,0,0
2014,80,tba (unspecified),BEV,Car,0,0
2015,80,tba (unspecified),BEV,Car,0,0
2016,80,tba (unspecified),BEV,Car,0,0
2017,80,tba (unspecified),BEV,Car,0,0
2018,80,tba (unspecified),BEV,Car,0,0
2019,80,tba (unspecified),BEV,Car,0,0
2020,80,tba (unspecified),BEV,Car,0,0
2021,80,tba (unspecified),BEV,Car,0,0
2022,80,tba (unspecified),BEV,Car,111,8.88
2023,80,tba (unspecified),BEV,Car,31,2.48
2024,80,tba (unspecified),BEV,Car,14,1.12
2025,80,tba (unspecified),BEV,Car,0,0
2014,28,LFP,PHEV,Car,0,0
2015,28,LFP,PHEV,Car,0,0
2016,28,LFP,PHEV,Car,0,0
2017,28,LFP,PHEV,Car,0,0
2018,28,LFP,PHEV,Car,0,0
2019,28,LFP,PHEV,Car,0,0
2020,28,LFP,PHEV,Car,0,0
2021,28,LFP,PHEV,Car,99,2.7720000000000002
2022,28,LFP,PHEV,Car,0,0
2023,28,LFP,PHEV,Car,0,0
2024,28,LFP,PHEV,Car,0,0
2025,28,LFP,PHEV,Car,0,0
2014,42 / 67,NMC 622,BEV,SUV,0,0
2015,42 / 67,NMC 622,BEV,SUV,0,0
2016,42 / 67,NMC 622,BEV,SUV,0,0
2017,42 / 67,NMC 622,BEV,SUV,0,0
2018,42 / 67,NMC 622,BEV,SUV,0,0
2019,42 / 67,NMC 622,BEV,SUV,2508,137.94
2020,42 / 67,NMC 622,BEV,SUV,2848,156.64000000000004
2021,42 / 67,NMC 622,BEV,SUV,8717,479.43500000000006
2022,42 / 67,NMC 622,BEV,SUV,7142,392.81
2023,42 / 67,NMC 622,BEV,SUV,0,0
2024,42 / 67,NMC 622,BEV,SUV,0,0
2025,42 / 67,NMC 622,BEV,SUV,0,0
2014,42 / 67,NMC 811,BEV,SUV,0,0
2015,42 / 67,NMC 811,BEV,SUV,0,0
2016,42 / 67,NMC 811,BEV,SUV,0,0
2017,42 / 67,NMC 811,BEV,SUV,0,0
2018,42 / 67,NMC 811,BEV,SUV,0,0
2019,42 / 67,NMC 811,BEV,SUV,2,0.106
2020,42 / 67,NMC 811,BEV,SUV,5,0.265
2021,42 / 67,NMC 811,BEV,SUV,18,0.9540000000000001
2022,42 / 67,NMC 811,BEV,SUV,1,0.053
2023,42 / 67,NMC 811,BEV,SUV,0,0
2024,42 / 67,NMC 811,BEV,SUV,0,0
2025,42 / 67,NMC 811,BEV,SUV,0,0
2014,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2015,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2016,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2017,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2018,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2019,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2020,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2021,"58 / 77,4",NMC (unspecified),BEV,SUV,0,0
2022,"58 / 77,4",NMC (unspecified),BEV,SUV,20498,1537.3500000000001
2023,"58 / 77,4",NMC (unspecified),BEV,SUV,18879,1415.925
2024,"58 / 77,4",NMC (unspecified),BEV,SUV,21715,1628.6250000000002
2025,"58 / 77,4",NMC (unspecified),BEV,SUV,1542,115.65
2014,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2015,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2016,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2017,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2018,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2019,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2020,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2021,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2022,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2023,76.1 / 99.8,NMC (unspecified),BEV,SUV,1118,98.384
2024,76.1 / 99.8,NMC (unspecified),BEV,SUV,15136,1331.968
2025,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2014,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2015,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2016,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2017,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2018,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2019,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2020,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2021,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2022,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2023,76.1 / 99.8,NMC (unspecified),BEV,SUV,0,0
2024,76.1 / 99.8,NMC (unspecified),BEV,SUV,6881,605.528
2025,76.1 / 99.8,NMC (unspecified),BEV,SUV,1232,108.416
2014,9.8,NMC 622,PHEV,Car,0,0
2015,9.8,NMC 622,PHEV,Car,0,0
2016,9.8,NMC 622,PHEV,Car,0,0
2017,9.8,NMC 622,PHEV,Car,1512,14.817600000000002
2018,9.8,NMC 622,PHEV,Car,948,9.2904
2019,9.8,NMC 622,PHEV,Car,205,2.0090000000000003
2020,9.8,NMC 622,PHEV,Car,148,1.4504000000000001
2021,9.8,NMC 622,PHEV,Car,5,0.049
2022,9.8,NMC 622,PHEV,Car,0,0
2023,9.8,NMC 622,PHEV,Car,0,0
2024,9.8,NMC 622,PHEV,Car,0,0
2025,9.8,NMC 622,PHEV,Car,0,0
2014,68,NMC (unspecified),BEV,SUV,0,0
2015,68,NMC (unspecified),BEV,SUV,0,0
2016,68,NMC (unspecified),BEV,SUV,0,0
2017,68,NMC (unspecified),BEV,SUV,0,0
2018,68,NMC (unspecified),BEV,SUV,0,0
2019,68,NMC (unspecified),BEV,SUV,0,0
2020,68,NMC (unspecified),BEV,SUV,0,0
2021,68,NMC (unspecified),BEV,SUV,0,0
2022,68,NMC (unspecified),BEV,SUV,1067,72.556
2023,68,NMC (unspecified),BEV,SUV,12157,826.6759999999998
2024,68,NMC (unspecified),BEV,SUV,12013,816.8840000000001
2025,68,NMC (unspecified),BEV,SUV,242,16.456
2014,8.9,NMC 622,PHEV,SUV,0,0
2015,8.9,NMC 622,PHEV,SUV,0,0
2016,8.9,NMC 622,PHEV,SUV,0,0
2017,8.9,NMC 622,PHEV,SUV,0,0
2018,8.9,NMC 622,PHEV,SUV,3726,33.1614
2019,8.9,NMC 622,PHEV,SUV,4036,35.9204
2020,8.9,NMC 622,PHEV,SUV,2306,20.5234
2021,8.9,NMC 622,PHEV,SUV,3572,31.790799999999997
2022,8.9,NMC 622,PHEV,SUV,2857,25.4273
2023,8.9,NMC 622,PHEV,SUV,0,0
2024,8.9,NMC 622,PHEV,SUV,0,0
2025,8.9,NMC 622,PHEV,SUV,0,0
2014,11.1,NMC (unspecified),PHEV,SUV,0,0
2015,11.1,NMC (unspecified),PHEV,SUV,0,0
2016,11.1,NMC (unspecified),PHEV,SUV,0,0
2017,11.1,NMC (unspecified),PHEV,SUV,0,0
2018,11.1,NMC (unspecified),PHEV,SUV,0,0
2019,11.1,NMC (unspecified),PHEV,SUV,0,0
2020,11.1,NMC (unspecified),PHEV,SUV,0,0
2021,11.1,NMC (unspecified),PHEV,SUV,0,0
2022,11.1,NMC (unspecified),PHEV,SUV,840,9.324
2023,11.1,NMC (unspecified),PHEV,SUV,4047,44.9217
2024,11.1,NMC (unspecified),PHEV,SUV,3212,35.653200000000005
2025,11.1,NMC (unspecified),PHEV,SUV,148,1.6428
2014,13.8,NMC (unspecified),PHEV,SUV,0,0
2015,13.8,NMC (unspecified),PHEV,SUV,0,0
2016,13.8,NMC (unspecified),PHEV,SUV,0,0
2017,13.8,NMC (unspecified),PHEV,SUV,0,0
2018,13.8,NMC (unspecified),PHEV,SUV,0,0
2019,13.8,NMC (unspecified),PHEV,SUV,0,0
2020,13.8,NMC (unspecified),PHEV,SUV,0,0
2021,13.8,NMC (unspecified),PHEV,SUV,2323,32.057399999999994
2022,13.8,NMC (unspecified),PHEV,SUV,4301,59.35380000000001
2023,13.8,NMC (unspecified),PHEV,SUV,3536,48.796800000000005
2024,13.8,NMC (unspecified),PHEV,SUV,3321,45.8298
2025,13.8,NMC (unspecified),PHEV,SUV,315,4.347
2014,30,NMC 111,BEV,SUV,359,10.77
2015,30,NMC 111,BEV,SUV,1015,30.45
2016,30,NMC 111,BEV,SUV,1728,51.84
2017,30,NMC 111,BEV,SUV,2157,64.71
2018,30,NMC 111,BEV,SUV,1019,30.570000000000004
2019,30,NMC 111,BEV,SUV,18,0.54
2020,30,NMC 111,BEV,SUV,0,0
2021,30,NMC 111,BEV,SUV,0,0
2022,30,NMC 111,BEV,SUV,0,0
2023,30,NMC 111,BEV,SUV,0,0
2024,30,NMC 111,BEV,SUV,0,0
2025,30,NMC 111,BEV,SUV,0,0
2014,13.8,NMC (unspecified),PHEV,SUV,0,0
2015,13.8,NMC (unspecified),PHEV,SUV,0,0
2016,13.8,NMC (unspecified),PHEV,SUV,0,0
2017,13.8,NMC (unspecified),PHEV,SUV,0,0
2018,13.8,NMC (unspecified),PHEV,SUV,0,0
2019,13.8,NMC (unspecified),PHEV,SUV,0,0
2020,13.8,NMC (unspecified),PHEV,SUV,0,0
2021,13.8,NMC (unspecified),PHEV,SUV,0,0
2022,13.8,NMC (unspecified),PHEV,SUV,1034,14.269200000000001
2023,13.8,NMC (unspecified),PHEV,SUV,7595,104.811
2024,13.8,NMC (unspecified),PHEV,SUV,11758,162.2604
2025,13.8,NMC (unspecified),PHEV,SUV,925,12.765
2014,3.8,tba (unspecified),PHEV,SUV,0,0
2015,3.8,tba (unspecified),PHEV,SUV,0,0
2016,3.8,tba (unspecified),PHEV,SUV,0,0
2017,3.8,tba (unspecified),PHEV,SUV,0,0
2018,3.8,tba (unspecified),PHEV,SUV,0,0
2019,3.8,tba (unspecified),PHEV,SUV,0,0
2020,3.8,tba (unspecified),PHEV,SUV,0,0
2021,3.8,tba (unspecified),PHEV,SUV,0,0
2022,3.8,tba (unspecified),PHEV,SUV,0,0
2023,3.8,tba (unspecified),PHEV,SUV,0,0
2024,3.8,tba (unspecified),PHEV,SUV,166,0.6307999999999999
2025,3.8,tba (unspecified),PHEV,SUV,61,0.2318
2014,18.1,NMC 622,PHEV,SUV,0,0
2015,18.1,NMC 622,PHEV,SUV,0,0
2016,18.1,NMC 622,PHEV,SUV,0,0
2017,18.1,NMC 622,PHEV,SUV,0,0
2018,18.1,NMC 622,PHEV,SUV,0,0
2019,18.1,NMC 622,PHEV,SUV,0,0
2020,18.1,NMC 622,PHEV,SUV,0,0
2021,18.1,NMC 622,PHEV,SUV,18,0.3258
2022,18.1,NMC 622,PHEV,SUV,3507,63.47669999999999
2023,18.1,NMC 622,PHEV,SUV,5265,95.2965
2024,18.1,NMC 622,PHEV,SUV,6250,113.125
2025,18.1,NMC 622,PHEV,SUV,748,13.5388
2014,18.1,NMC 622,PHEV,SUV,0,0
2015,18.1,NMC 622,PHEV,SUV,0,0
2016,18.1,NMC 622,PHEV,SUV,0,0
2017,18.1,NMC 622,PHEV,SUV,0,0
2018,18.1,NMC 622,PHEV,SUV,0,0
2019,18.1,NMC 622,PHEV,SUV,0,0
2020,18.1,NMC 622,PHEV,SUV,0,0
2021,18.1,NMC 622,PHEV,SUV,0,0
2022,18.1,NMC 622,PHEV,SUV,0,0
2023,18.1,NMC 622,PHEV,SUV,656,11.8736
2024,18.1,NMC 622,PHEV,SUV,4710,85.25099999999999
2025,18.1,NMC 622,PHEV,SUV,451,8.1631
2014,71.4,NMC (unspecified),BEV,SUV,0,0
2015,71.4,NMC (unspecified),BEV,SUV,0,0
2016,71.4,NMC (unspecified),BEV,SUV,0,0
2017,71.4,NMC (unspecified),BEV,SUV,0,0
2018,71.4,NMC (unspecified),BEV,SUV,0,0
2019,71.4,NMC (unspecified),BEV,SUV,0,0
2020,71.4,NMC (unspecified),BEV,SUV,0,0
2021,71.4,NMC (unspecified),BEV,SUV,0,0
2022,71.4,NMC (unspecified),BEV,SUV,0,0
2023,71.4,NMC (unspecified),BEV,SUV,5386,384.5604
2024,71.4,NMC (unspecified),BEV,SUV,9675,690.7950000000001
2025,71.4,NMC (unspecified),BEV,SUV,263,18.7782
2014,18.1,NMC 622,PHEV,SUV,0,0
2015,18.1,NMC 622,PHEV,SUV,0,0
2016,18.1,NMC 622,PHEV,SUV,0,0
2017,18.1,NMC 622,PHEV,SUV,0,0
2018,18.1,NMC 622,PHEV,SUV,0,0
2019,18.1,NMC 622,PHEV,SUV,0,0
2020,18.1,NMC 622,PHEV,SUV,0,0
